,portfolio_value
2017-06-29,135909.28790211174
2017-06-30,136073.62375788967
2017-07-03,136490.4508713599
2017-07-05,135344.3301853339
2017-07-06,135879.1201225218
2017-07-07,135711.33998768547
2017-07-10,135482.13674495326
2017-07-11,136303.30437224288
2017-07-12,136550.0209712966
2017-07-13,137077.69027905504
2017-07-14,136811.64398537832
2017-07-17,136892.23931380716
2017-07-18,137656.16460946426
2017-07-19,138145.26091122115
2017-07-20,138121.39956422948
2017-07-21,138019.02680698468
2017-07-24,137817.0380805497
2017-07-25,137642.9477589791
2017-07-26,137185.8309317776
2017-07-27,137271.65583642502
2017-07-28,137328.71992094992
2017-07-31,137608.53060211393
2017-08-01,137689.58239941532
2017-08-02,137730.27336817823
2017-08-03,137733.63499455413
2017-08-04,137803.5781530842
2017-08-07,137720.59358997786
2017-08-08,137551.0570946732
2017-08-09,136797.23836415674
2017-08-10,136453.63842083153
2017-08-11,137377.6734046484
2017-08-14,137535.40373934578
2017-08-15,137556.01154638123
2017-08-16,135979.28364465747
2017-08-17,135872.99966725134
2017-08-18,136057.40997966618
2017-08-21,137059.34596493252
2017-08-22,137001.38796246637
2017-08-23,136917.35890841056
2017-08-24,137294.59063852363
2017-08-25,137004.58210077294
2017-08-28,136680.82670058034
2017-08-29,137052.69377260417
2017-08-30,137831.61420397027
2017-08-31,137747.0937844854
2017-09-01,137354.94002522406
2017-09-05,137405.60283650155
2017-09-06,138569.53247273006
2017-09-07,138678.94844049573
2017-09-08,139897.25085941586
2017-09-11,139087.39504585773
2017-09-12,138621.58536159724
2017-09-13,138565.7033591638
2017-09-14,138587.28926279044
2017-09-15,138533.43815606635
2017-09-18,138738.33482465654
2017-09-19,138835.11930652667
2017-09-20,138432.24982352913
2017-09-21,138248.71502586643
2017-09-22,138176.35584196035
2017-09-25,137986.9543816739
2017-09-26,138155.3109559982
2017-09-27,138417.5698831492
2017-09-28,138764.73414266613
2017-09-29,138843.19978548723
2017-10-02,139003.31693795757
2017-10-03,139308.17891222122
2017-10-04,139618.99288065569
2017-10-05,138854.0684436169
2017-10-06,138749.01997403937
2017-10-09,139277.1511232225
2017-10-10,139433.51281609526
2017-10-11,138653.67191875816
2017-10-12,138448.45674692147
2017-10-13,138587.85361882104
2017-10-16,138632.7980549788
2017-10-17,138449.34261660796
2017-10-18,138769.29979268278
2017-10-19,139562.6037064472
2017-10-20,139124.02111271062
2017-10-23,139641.87275074425
2017-10-24,138844.55457596428
2017-10-25,139855.09294782978
2017-10-26,139930.305020927
2017-10-27,139896.33294600016
2017-10-30,140259.63297747186
2017-10-31,140779.12699235827
2017-11-01,140337.08433450383
2017-11-02,140855.21224612123
2017-11-03,141548.8094685833
2017-11-06,141760.6554155203
2017-11-07,141808.51707464378
2017-11-08,141438.27846750742
2017-11-09,140817.91037098822
2017-11-10,140856.8338024123
2017-11-13,140019.78960615836
2017-11-14,138825.86182633214
2017-11-15,139342.56994233222
2017-11-16,138948.79425898366
2017-11-17,139066.04340954637
2017-11-20,139944.5555256328
2017-11-21,139832.19273376305
2017-11-22,140268.02683396084
2017-11-24,139886.1438389052
2017-11-27,140995.56508888252
2017-11-28,140669.47694531785
2017-11-29,141539.78996844977
2017-11-30,141467.752213828
2017-12-01,141943.08640895082
2017-12-04,141155.8600756693
2017-12-05,140821.47299149583
2017-12-06,141189.06594960435
2017-12-07,141847.1792733898
2017-12-08,142104.46165242334
2017-12-11,142220.84069790336
2017-12-12,141686.20132641276
2017-12-13,141439.94783265167
2017-12-14,142603.66354140427
2017-12-15,143280.46720370042
2017-12-18,142591.14923442266
2017-12-19,142295.165772884
2017-12-20,142715.4841274984
2017-12-21,142574.02431639328
2017-12-22,142474.7478234879
2017-12-26,142390.9970123907
2017-12-27,142593.5789070007
2017-12-28,141864.05951981794
2017-12-29,143030.31607554638
2018-01-02,143939.22684203179
2018-01-03,144574.3309472061
2018-01-04,145505.0347532788
2018-01-05,145797.71928851394
2018-01-08,145814.19223360476
2018-01-09,145819.5463693318
2018-01-10,147322.51169325653
2018-01-11,148627.29358760183
2018-01-12,147841.7676455558
2018-01-16,149099.54093413637
2018-01-17,148813.11073572462
2018-01-18,149844.29085039234
2018-01-19,151402.40111118017
2018-01-22,151945.6752724539
2018-01-23,152139.47438171288
2018-01-24,151868.7867878972
2018-01-25,153358.488960137
2018-01-26,152750.11491769349
2018-01-29,151441.44096135764
2018-01-30,150841.37648673073
2018-01-31,149609.10294907287
2018-02-01,147297.15257537123
2018-02-02,141915.64502583395
2018-02-05,144945.14112839822
2018-02-06,144657.0347428072
2018-02-07,138894.55680836932
2018-02-08,140000.18982287202
2018-02-09,141646.4508919321
2018-02-12,142330.30634986525
2018-02-13,143998.62072782763
2018-02-14,145246.82356599424
2018-02-15,144632.7516454129
2018-02-16,143914.017933751
2018-02-20,143747.38198444044
2018-02-21,143578.8192516962
2018-02-22,145519.46226045315
2018-02-23,146777.4355669213
2018-02-26,143880.99862612612
2018-02-27,143110.77358215264
2018-02-28,141372.0246817208
2018-03-01,142636.29954527074
2018-03-02,144020.19896073436
2018-03-05,144772.8030653597
2018-03-06,144136.1286554592
2018-03-07,144685.9959247857
2018-03-08,147255.94508621382
2018-03-09,147692.02147949586
2018-03-12,146258.0171532059
2018-03-13,146070.03355717435
2018-03-14,146067.73185537872
2018-03-15,145983.46231426796
2018-03-16,143340.92478530583
2018-03-19,143874.0145851749
2018-03-20,143371.6839787246
2018-03-21,140073.05960601047
2018-03-22,136649.33318176752
2018-03-23,140626.99088472966
2018-03-26,136778.2646748416
2018-03-27,135087.13119977183
2018-03-28,135087.13119977183
2018-03-29,131260.35950748608
2018-04-02,131260.35950748608
2018-04-03,131260.35950748608
2018-04-04,131260.35950748608
2018-04-05,128449.79271088757
2018-04-06,128449.79271088757
2018-04-09,128449.79271088757
2018-04-10,128449.79271088757
2018-04-11,128449.79271088757
2018-04-12,128449.79271088757
2018-04-13,128449.79271088757
2018-04-16,129795.28614633242
2018-04-17,129288.21464123126
2018-04-18,129182.78818318834
2018-04-19,128033.09434917379
2018-04-20,128033.09434917379
2018-04-23,128033.09434917379
2018-04-24,128072.95627828348
2018-04-25,129393.61651337311
2018-04-26,129393.61651337311
2018-04-27,129028.3397010022
2018-04-30,128667.65142972763
2018-05-01,128748.434149712
2018-05-02,128574.2492147172
2018-05-03,129097.28674768
2018-05-04,128845.91197025581
2018-05-07,128317.08375637185
2018-05-08,130655.59450431721
2018-05-09,131734.16847874178
2018-05-10,131468.2435841446
2018-05-11,132194.1934111022
2018-05-14,132210.4623082722
2018-05-15,132698.48667176685
2018-05-16,134439.0742786668
2018-05-17,133356.14674804185
2018-05-18,134645.91438326132
2018-05-21,132923.89028419
2018-05-22,133037.76398289588
2018-05-23,131048.23738835039
2018-05-24,128482.92611479785
2018-05-25,128343.90808589332
2018-05-29,131555.43260887687
2018-05-30,130844.1715287911
2018-05-31,130432.18742049424
2018-06-01,129416.60037943663
2018-06-04,128917.8151117135
2018-06-05,129582.070344802
2018-06-06,131287.71202898063
2018-06-07,131064.06242182163
2018-06-08,131447.26542364238
2018-06-11,130602.42525483214
2018-06-12,129443.2441817808
2018-06-13,129166.11042061065
2018-06-14,127432.93759066024
2018-06-15,127831.27124029135
2018-06-18,127569.95400829575
2018-06-19,128204.43997714405
2018-06-20,126912.70636389763
2018-06-21,127371.78995505147
2018-06-22,124590.75391640348
2018-06-25,125505.21937879651
2018-06-26,125080.1283543713
2018-06-27,125308.87638962675
2018-06-28,125719.35996549681
2018-06-29,125410.8445556996
2018-07-02,125263.92907782679
2018-07-03,125667.28511026764
2018-07-05,126501.22286886632
2018-07-06,126020.09170084778
2018-07-09,126493.75738821329
2018-07-10,126142.64421990022
2018-07-11,126652.96003762321
2018-07-12,126862.74983988091
2018-07-13,126924.05582703304
2018-07-16,127092.08099995792
2018-07-17,126946.42814170751
2018-07-18,126881.01442714797
2018-07-19,126614.32258657539
2018-07-20,126691.09070254545
2018-07-23,127006.5368122268
2018-07-24,128286.22597739294
2018-07-25,127427.74169695315
2018-07-26,126720.90592325227
2018-07-27,126374.67944099201
2018-07-30,127050.78729164791
2018-07-31,126582.8119957876
